Total_Visits_Last_Year,Avg_Session_Duration_Minutes,Total_Clicks_On_Ads,Credit_Score,Loyalty_Points,Avg_Discount_Used,Total_Refund_Amount,Monthly_Spending_Estimate,Shipping_Distance_KM,Complaints_Count,Preferred_Contact_Time,Customer_Tier,Communication_Preference,Favorite_Product_Category,Special_Notes
2.247373172,-12.22351227,-5.246801381,1.250189262,-3.481483232,3.562213554,5.401991746,6.006604405,4.952192979,14.58309854,Evening,Bronze,SMS,Clothing,
,2.68119689,584.0759974,,-2.453486953,-3.46921669,6.153640033,16.16715122,-9.268746849,-7.374091128,Evening,Bronze,,,Long-Term
-27.17518321,6.668975311,7.233409104,-3.898794696,1.25062339,9.471970154,13.20040763,4.778315465,0.647364483,0.999435634,,,Phone,,VIP
1.07522383,-6.816984505,-6.063933348,-4.618508722,11.1742617,,9.748243087,0.101263713,12.80336432,-18.86400743,,,SMS,Home,
-10.44896269,-5.03679497,-1.914510705,6.840693479,0.580898092,2.202235189,-19.2531805,-17.89806696,5.589338423,6.346641075,Afternoon,,Email,Home,New Customer
-13.42656272,-8.331079765,15.02516707,7.696856762,8.874696875,-6.518670469,-0.02385077,24.01187453,-3.103760659,-11.98149806,Evening,,,,
9.816243014,7.422752676,-17.25641569,5.041114281,16.28873338,5.904719257,-2.076231862,,9.360076614,16.31912779,Afternoon,Platinum,,,Long-Term
,-5.422517303,10.80096655,1.139437207,-4.429063471,7.33998031,-9.025915682,-12.07931603,4.858328371,0.758033043,Afternoon,Platinum,SMS,,Long-Term
-12.33143254,-9.714673714,3.760716838,,-12.42840368,6.650534352,-7.668638761,-11.8208002,3.010611836,-10.54797319,Evening,Silver,SMS,Home,New Customer
16.62682174,,-5.064556869,-24.1011009,-13.73949165,10.54893749,3.023896745,19.39768723,-7.35172324,0.506778841,Morning,Bronze,,Sports,New Customer
-4.698545922,-16.73071923,2.148722262,13.66596619,-5.729481922,3.364250507,-9.81404458,-14.54752019,7.696575269,-16.84453674,,,SMS,Clothing,
-2.440368021,12.36822076,-2.574434241,-18.91884214,11.94016826,-15.3539568,15.01747656,-1.016143355,-1.750881561,7.836258921,Afternoon,Bronze,,Home,
0.677912274,7.412634568,9.674694427,-10.09498118,28.54798093,5.581291154,14.86975655,15.25867016,17.38082924,-9.686507211,Evening,Platinum,,Beauty,New Customer
16.0560688,7.539169634,-4.027546804,9.339876923,,19.65615351,7.912757212,8.795000893,5.366106411,-3.553012623,Afternoon,Platinum,,Sports,
-11.75586417,-7.044192348,-5.482347286,,3.316023605,-1.151701783,-2.93222863,14.85182641,1.702001027,23.84149203,Morning,Gold,,Home,
3.009044346,3.657368151,12.62523331,,-9.62204717,-11.24535284,2.690461097,-0.926525636,-7.022317035,-0.997607427,Morning,Gold,SMS,Beauty,
-16.97715721,,4.656491805,-5.900709024,-7.566842248,7.850158016,1.737310109,-2.369938944,11.18857416,16.28929709,,Bronze,,Sports,
21.16275217,17.10380346,6.227101147,-12.06049268,-21.20926634,-6.263017392,20.33944943,13.97549665,-10.1168789,21.26315424,,Platinum,Email,Clothing,Long-Term
-6.539523818,19.67561532,-17.29973744,17.11152343,-4.724116244,19.00560456,1.544776587,-15.62799013,7.076049863,0.826773368,Morning,Gold,Email,Home,Long-Term
6.658483258,-11.82855756,1.540713502,1.842226125,7.457303161,-1.113420684,-3.164354765,2.514688491,442.1821676,-12.12684702,,Silver,Phone,Beauty,
-24.80568361,-0.258795875,-10.57632811,9.945127801,2.933350453,-0.377709054,-0.225616198,,-7.301275435,1.161815485,Morning,,Email,Electronics,VIP
16.39130666,13.0920882,-1.237446354,23.90766349,9.88811634,-4.757126493,10.57214758,-0.632675997,-1.463904765,2.656740923,Afternoon,,SMS,Electronics,VIP
-0.790865256,4.5623455,3.167443133,6.346971186,-1.59877661,3.460869647,-8.182588813,-0.918241549,15.13687531,-13.6543111,Morning,Bronze,Phone,Sports,
8.559274494,8.106275924,1.988847986,-15.63370899,-0.502650943,28.92697293,-0.311604178,-8.374323386,7.701862109,11.93551059,,Platinum,SMS,Beauty,
-6.551386426,5.548026867,7.717885392,0.309752022,-9.599418618,-1.933032898,5.411571927,0.949791848,2.429508681,11.45985457,Morning,Platinum,Phone,Home,
0.050057896,-0.465433975,15.29134435,1.71610716,0.49100792,-17.79271888,-2.404833304,,-3.613903684,,Evening,,,Clothing,Long-Term
6.139746556,1.741291201,4.907296661,4.978871426,2.704621038,-0.661934571,2.03944863,-5.44543088,-12.24904235,16.42202642,Morning,,Phone,Home,VIP
-1.136084132,-7.567331825,3.865472616,3.092225642,6.100578783,1.687718253,-1.2116843,-3.084491982,-7.002971997,,Evening,Bronze,SMS,,Long-Term
-0.165376811,12.59600413,-12.14541799,-8.539572498,3.602305733,7.957919592,,3.908751497,,2.151813336,Afternoon,Silver,Phone,Clothing,
2.086161163,-0.733214114,10.74636315,8.597191677,2.365585906,-1.791410097,3.163390682,-0.003128587,11.12924258,5.941419884,,Bronze,,Electronics,
-8.178122952,-11.3099741,1.484044622,-3.872185574,-9.4588117,5.491060125,-11.21996153,-24.43950624,-10.55818773,0.198931469,,Silver,,Beauty,
6.310576585,-7.210756507,-9.35830367,,-5.828972357,-4.412649496,,8.595500797,5.757910781,0.682274744,Morning,Silver,Phone,Clothing,Long-Term
-10.81377304,-9.340971696,7.21862542,1.010485898,2.554661243,0.728342554,4.85390012,3.315152749,2.25383098,0.936680486,,,,Electronics,VIP
0.529287272,0.518574996,,5.171530972,-0.995345763,8.430484166,10.00557476,-10.44346438,-11.64056565,-1.061157844,Afternoon,Bronze,,,VIP
-15.6092667,4.029573391,,9.545363966,-15.41191372,6.406938308,-15.78668288,-9.266799122,-9.333575672,10.19032374,,Gold,Email,Electronics,VIP
9.638837617,10.10086247,17.45280834,-15.68464063,-3.646671686,9.457571346,3.076864831,-7.442225339,8.425783619,-7.789117249,Morning,Silver,Email,,New Customer
0.678718313,-7.884037787,-9.088171763,-12.85451025,-3.017664647,-3.232465747,14.49309061,14.86761012,-11.69110719,1.329244393,Evening,Silver,Phone,Home,New Customer
6.195633158,4.792149264,-12.23059769,-3.278435471,-4.916084411,-2.074597422,-8.318756351,14.23465163,4.010509216,-3.883630472,Afternoon,Platinum,Phone,Electronics,
-6.557185374,-3.757572232,-3.861619256,-11.93313257,-2.350390143,-6.443939512,5.540927542,15.20195066,8.346227702,-4.70457431,,Silver,Email,Beauty,New Customer
-12.3625943,-5.520868447,4.978543646,3.403000389,0.226511374,-711.6682397,-9.177412653,10.6629309,-3.945994976,6.699154673,Afternoon,Gold,,Sports,New Customer
-16.76747841,-6.318866049,1.273245411,1.951892052,5.127579939,15.04285054,-7.470958054,9.953424055,-2.446145785,7.29526929,Afternoon,Silver,SMS,Beauty,
6.749645989,-1.969835555,9.248503756,6.340012161,6.363456749,-6.370099585,2.049394782,12.28591619,-0.273098679,0.403865262,Evening,,,Electronics,VIP
12.66372027,-11.6431287,-3.655483025,7.018614937,19.49636697,-7.724551144,13.37599285,-3.328233257,,17.80792452,Afternoon,,,Beauty,Long-Term
15.59888775,13.19740859,13.6740354,16.76066273,,-10.56869221,-2.06886274,15.46194766,-0.8076115,23.60649853,Afternoon,Gold,,,
-0.474901908,-6.738545582,-7.546539517,1.950209925,-7.347353242,0.371001243,24.43845129,-22.20177726,-9.818886939,-14.83877152,Morning,Gold,Email,Home,Long-Term
-9.081932042,14.1508829,-2.856418642,-5.918495359,2.960162889,8.4925218,-1.999261095,-2.203205737,15.03124846,-14.7040503,Evening,Platinum,Phone,,
5.289138229,-8.518879431,-3.210018036,-0.42424258,12.80811406,19.35291924,16.01860299,-5.210579593,2.778626177,16.93708191,,Silver,,,VIP
-9.27341817,11.7783812,-0.190323483,6.108088794,-2.768535308,-0.936786402,7.126879711,-10.16170192,-11.03249078,15.08625523,,Platinum,Phone,Sports,Long-Term
